
param i := 10; # number of companies
param j := 10; # number of queries

# The average revenue for company i and query j
param c :  1    2    3    4    5    6    7    8    9    10 :=
        1  1    0.75 2.5  2    3    3.5  1.75 0.5  2.5  1.75
        2  0.5  0.5  2    0.75 1.5  1    0.6  0.9  1.5  2 
        3  0.5  2.6  1    2.5  1.5  2.25 0.75 0.5  1.5  0.8 
        4  0.25 0.5  2.8  2    3    3.5  1.75 0.5  2.5  1.75 
        5  0.75 0.5  2.5  1.1  1.4  1.8  1.75 0.5  2.5  3 
        6  1.5  2.75 1.4  2    3.2  3.5  1.9  0.5  2.25 0.9 
        7  1.4  0.7  3.2  2.3  2.1  0.6  1.6  0.3  2.9  3.1 
        8  1    1.3  3.3  3.6  0.65 1.35 1.75 0.85 2    1.95 
        9  0.4  2.1  0.35 2.8  3.45 3    1.25 0.55 2.7  0.2 
        10 2    1.2  3.4  1.65 3.2  2.4  2.8  1.3  0.9  2.4
;

# Maximal budget for company i
param b :=
1 200
2 150
3 180
4 140
5 210
6 190
7 160
8 100
9 205
10 170
;

# Estimated requests for query j
param d :=
1  150
2  90
3  80
4  110
5  135
6  95
7  105
8  120
9  75
10 160
;
